location,date,total_cases_per_million,total_deaths_per_million,reproduction_per_million,icu_patients_per_million,hosp_patients_per_million,total_tests,total_vaccinations,people_vaccinated_per_million,people_vaccinated,total_boosters,stringency_index,vaccination_rates,vaccination_result,population,aged_65_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,human_development_index,excess_mortality_cumulative_per_million
Comoros,8/1/21,4533.708,165.456,0.00000079,,,,,,,,,,,888456,2.963,1413.89,0.0000181,0.000261516,0.00001188,0.0000044,0.0000236,15.574,0.0000022,0.554,
Congo,8/1/21,2330.91,31.465,0.00000066,,,,,,,,48.15,,,5657017,3.402,4881.406,0.000037,0.000344094,0.0000072,0.0000017,0.0000523,47.964,,0.574,
Cook Islands,8/1/21,56.909,,,,,,,,,,,,,17572,,,,,,,,,,,
Costa Rica,8/1/21,79161.277,978.78,0.00000114,,,1.47527,,,,,54.63,,,5139053,9.468,15524.995,0.0000013,0.000137973,0.00000878,0.0000064,0.0000174,83.841,0.00000113,0.81,
Cote d'Ivoire,8/1/21,1858.457,12.198,0.00000139,,,0.78868,1.019898,1.019898,1019898,,20.37,3.769911977,very low,27053629,2.933,3601.006,0.0000282,0.00030374,0.00000242,,,19.351,,0.538,
Croatia,8/1/21,89120.178,2024.423,0.00000117,,36.75,,3.080719,1.647156,1647156,,33.8,40.35508128,low,4081657,19.724,22669.797,0.0000007,0.000253782,0.00000559,0.0000343,0.0000399,,0.00000554,0.851,2315.603687
Cuba,8/1/21,34843.655,251.381,0.00000114,,,,10.061236,4.155261,4155261,,65.28,36.71536765,low,11317498,14.738,,,0.000190968,0.00000827,0.0000171,0.0000533,85.198,0.0000052,0.783,
Curacao,8/1/21,82944.974,770.65,,,,,,,,,,,,164796,16.367,,,,0.00001162,,,,,,
Cyprus,8/1/21,115700.247,470.98,0.00000085,50.223,335.936,10.230539,,,,,56.48,,,896005,13.416,32415.132,,0.000141171,0.00000924,0.0000196,0.0000527,,0.0000034,0.887,359.9310272
Czechia,8/1/21,156061.889,2832.193,0.00000094,1.492,4.849,33.696778,10.435407,5.688229,5688229,0.000004,42.59,53.03931082,high,10724553,19.027,32605.906,,0.000227485,0.00000682,0.0000305,0.0000383,,0.00000663,0.9,3114.069183
Democratic Republic of Congo,8/1/21,540.356,11.236,0.00000099,,,,,,,,49.07,,,92377986,3.02,808.133,0.0000771,0.000318949,0.0000061,,,4.472,,0.48,
Denmark,8/1/21,54650.524,438.477,0.00000106,1.376,9.805,38.800776,7.313459,4.177978,4177978,0.00036,38.89,71.86927498,high,5813302,19.677,46682.515,0.0000002,0.000114767,0.00000641,0.0000193,0.0000188,,0.0000025,0.94,-242.0655249
Djibouti,8/1/21,11626.457,155.658,0.00000099,,,,,,,,43.52,,,1002197,4.213,2705.406,0.0000225,0.000258037,0.00000605,0.0000017,0.0000245,,0.0000014,0.524,
Dominica,8/1/21,3020.562,,0.0000004,,,,,,,,25.93,,,72172,,9673.367,,0.000227376,0.00001162,,,,0.0000038,0.742,
Dominican Republic,8/1/21,31246.662,361.795,0.00000087,,,,10.148305,5.545143,5545143,0.383425,60.19,50.62340499,high,10953714,6.981,14600.861,0.0000016,0.000266653,0.0000082,0.0000085,0.0000191,55.182,0.0000016,0.756,
Ecuador,8/1/21,27257.663,1768.401,0.00000092,,,1.599862,12.641423,10.130519,10130519,,62.04,56.63154386,high,17888474,7.104,10581.936,0.0000036,0.000140448,0.00000555,0.000002,0.0000123,80.635,0.0000015,0.759,3600.681646
Egypt,8/1/21,2726.986,158.529,0.0000009,,,,5.570554,3.783581,3783581,,43.52,3.629044422,very low,104258327,5.159,10550.206,0.0000013,0.000525432,0.00001731,0.0000002,0.0000501,89.827,0.0000016,0.707,
El Salvador,8/1/21,13288.333,405.155,0.00000088,,,,,,,,32.41,,,6518500,8.273,7292.458,0.0000022,0.000167295,0.00000887,0.0000025,0.0000188,90.65,0.0000013,0.673,
Equatorial Guinea,8/1/21,6124.598,84.834,0.00000085,,,,,,,,,,,1449891,2.846,22604.873,,0.000202812,0.00000778,,,24.64,0.0000021,0.592,
Eritrea,8/1/21,1817.873,9.718,0.00000077,,,,,,,,62.04,,,3601462,3.607,1510.459,,0.00031111,0.00000605,0.0000002,0.0000114,,0.0000007,0.459,
